repo,path,label
requests,docs/_themes/flask_theme_support.py,config
requests,docs/conf.py,config
requests,setup.py,config
requests,src/requests/__init__.py,entry_point
requests,src/requests/__version__.py,config
requests,src/requests/_internal_utils.py,utility
requests,src/requests/_types.py,model
requests,src/requests/adapters.py,service
requests,src/requests/api.py,entry_point
requests,src/requests/auth.py,service
requests,src/requests/certs.py,config
requests,src/requests/compat.py,legacy
requests,src/requests/cookies.py,model
requests,src/requests/exceptions.py,model
requests,src/requests/help.py,utility
requests,src/requests/hooks.py,utility
requests,src/requests/models.py,model
requests,src/requests/packages.py,legacy
requests,src/requests/sessions.py,service
requests,src/requests/status_codes.py,model
requests,src/requests/structures.py,model
requests,src/requests/utils.py,utility
requests,tests/__init__.py,test
requests,tests/compat.py,test
requests,tests/conftest.py,test
requests,tests/test_adapters.py,test
requests,tests/test_help.py,test
requests,tests/test_hooks.py,test
requests,tests/test_lowlevel.py,test
requests,tests/test_packages.py,test
requests,tests/test_requests.py,test
requests,tests/test_structures.py,test
requests,tests/test_testserver.py,test
requests,tests/test_utils.py,test
requests,tests/testserver/__init__.py,test
requests,tests/testserver/server.py,test
requests,tests/utils.py,test
httpx,httpx/__init__.py,entry_point
httpx,httpx/__version__.py,config
httpx,httpx/_api.py,entry_point
httpx,httpx/_auth.py,service
httpx,httpx/_client.py,service
httpx,httpx/_config.py,config
httpx,httpx/_content.py,service
httpx,httpx/_decoders.py,service
httpx,httpx/_exceptions.py,model
httpx,httpx/_main.py,entry_point
httpx,httpx/_models.py,model
httpx,httpx/_multipart.py,service
httpx,httpx/_status_codes.py,model
httpx,httpx/_transports/__init__.py,entry_point
httpx,httpx/_transports/asgi.py,service
httpx,httpx/_transports/base.py,service
httpx,httpx/_transports/default.py,service
httpx,httpx/_transports/mock.py,service
httpx,httpx/_transports/wsgi.py,service
httpx,httpx/_types.py,model
httpx,httpx/_urlparse.py,service
httpx,httpx/_urls.py,model
httpx,httpx/_utils.py,utility
httpx,tests/__init__.py,test
httpx,tests/client/__init__.py,test
httpx,tests/client/test_async_client.py,test
httpx,tests/client/test_auth.py,test
httpx,tests/client/test_client.py,test
httpx,tests/client/test_cookies.py,test
httpx,tests/client/test_event_hooks.py,test
httpx,tests/client/test_headers.py,test
httpx,tests/client/test_properties.py,test
httpx,tests/client/test_proxies.py,test
httpx,tests/client/test_queryparams.py,test
httpx,tests/client/test_redirects.py,test
httpx,tests/common.py,test
httpx,tests/concurrency.py,test
httpx,tests/conftest.py,test
httpx,tests/models/__init__.py,test
httpx,tests/models/test_cookies.py,test
httpx,tests/models/test_headers.py,test
httpx,tests/models/test_queryparams.py,test
httpx,tests/models/test_requests.py,test
httpx,tests/models/test_responses.py,test
httpx,tests/models/test_url.py,test
httpx,tests/models/test_whatwg.py,test
httpx,tests/test_api.py,test
httpx,tests/test_asgi.py,test
httpx,tests/test_auth.py,test
httpx,tests/test_config.py,test
httpx,tests/test_content.py,test
httpx,tests/test_decoders.py,test
httpx,tests/test_exceptions.py,test
httpx,tests/test_exported_members.py,test
httpx,tests/test_main.py,test
httpx,tests/test_multipart.py,test
httpx,tests/test_status_codes.py,test
httpx,tests/test_timeouts.py,test
httpx,tests/test_utils.py,test
httpx,tests/test_wsgi.py,test
starlette,benchmarks/__init__.py,test
starlette,benchmarks/_utils.py,test
starlette,benchmarks/conftest.py,test
starlette,benchmarks/file_response_benchmark.py,test
starlette,benchmarks/gzip_benchmark.py,test
starlette,benchmarks/json_benchmark.py,test
starlette,benchmarks/multipart_benchmark.py,test
starlette,benchmarks/request_benchmark.py,test
starlette,benchmarks/response_benchmark.py,test
starlette,benchmarks/routing_benchmark.py,test
starlette,benchmarks/streaming_response_benchmark.py,test
starlette,benchmarks/urlencoded_benchmark.py,test
starlette,benchmarks/websocket_benchmark.py,test
starlette,tests/__init__.py,test
starlette,tests/conftest.py,test
starlette,tests/middleware/__init__.py,test
starlette,tests/middleware/test_base.py,test
starlette,tests/middleware/test_body_limit.py,test
starlette,tests/middleware/test_cors.py,test
starlette,tests/middleware/test_errors.py,test
starlette,tests/middleware/test_gzip.py,test
starlette,tests/middleware/test_https_redirect.py,test
starlette,tests/middleware/test_middleware.py,test
starlette,tests/middleware/test_opentelemetry.py,test
starlette,tests/middleware/test_session.py,test
starlette,tests/middleware/test_trusted_host.py,test
starlette,tests/middleware/test_wsgi.py,test
starlette,tests/test__utils.py,test
starlette,tests/test_applications.py,test
starlette,tests/test_authentication.py,test
starlette,tests/test_background.py,test
starlette,tests/test_concurrency.py,test
starlette,tests/test_config.py,test
starlette,tests/test_convertors.py,test
starlette,tests/test_datastructures.py,test
starlette,tests/test_endpoints.py,test
starlette,tests/test_exceptions.py,test
starlette,tests/test_formparsers.py,test
starlette,tests/test_requests.py,test
starlette,tests/test_responses.py,test
starlette,tests/test_routing.py,test
starlette,tests/test_schemas.py,test
starlette,tests/test_staticfiles.py,test
starlette,tests/test_status.py,test
starlette,tests/test_templates.py,test
starlette,tests/test_testclient.py,test
starlette,tests/test_websockets.py,test
starlette,tests/types.py,test
starlette,starlette/__init__.py,entry_point
starlette,starlette/_exception_handler.py,service
starlette,starlette/_utils.py,utility
starlette,starlette/applications.py,service
starlette,starlette/authentication.py,service
starlette,starlette/background.py,service
starlette,starlette/concurrency.py,utility
starlette,starlette/config.py,config
starlette,starlette/convertors.py,service
starlette,starlette/datastructures.py,model
starlette,starlette/endpoints.py,service
starlette,starlette/exceptions.py,model
starlette,starlette/formparsers.py,service
starlette,starlette/middleware/__init__.py,entry_point
starlette,starlette/middleware/authentication.py,service
starlette,starlette/middleware/base.py,service
starlette,starlette/middleware/body_limit.py,service
starlette,starlette/middleware/cors.py,service
starlette,starlette/middleware/errors.py,service
starlette,starlette/middleware/exceptions.py,service
starlette,starlette/middleware/gzip.py,service
starlette,starlette/middleware/httpsredirect.py,service
starlette,starlette/middleware/opentelemetry.py,service
starlette,starlette/middleware/sessions.py,service
starlette,starlette/middleware/trustedhost.py,service
starlette,starlette/middleware/wsgi.py,service
starlette,starlette/requests.py,model
starlette,starlette/responses.py,model
starlette,starlette/routing.py,service
starlette,starlette/schemas.py,service
starlette,starlette/staticfiles.py,service
starlette,starlette/status.py,model
starlette,starlette/templating.py,service
starlette,starlette/testclient.py,service
starlette,starlette/types.py,model
starlette,starlette/websockets.py,model
